Filename	TicTecToe.mp3		
BPM	126		
Beat	4	4	
PlayTime	3	14	
1	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	1	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	1	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	1	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	1	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	1
0	1	0	0
0	0	0	1
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	1	0	1
0	0	0	1
0	1	0	0
0	0	0	1
0	1	0	0
0	0	0	1
0	1	0	0
0	0	0	1
0	1	0	0
0	0	0	1
0	1	0	0
0	0	0	1
0	1	0	0
0	0	0	1
1	0	0	0
1	0	0	0
0	0	1	0
1	0	0	0
0	0	1	0
1	0	0	0
0	0	1	0
1	0	0	0
0	0	1	0
1	0	0	0
0	0	1	1
0	0	1	1
1	0	0	0
0	0	0	1
1	1	0	0
0	0	0	1
1	0	0	0
0	0	0	1
1	1	0	0
0	0	0	1
1	0	0	0
0	0	0	1
1	1	0	0
0	0	0	1
1	0	0	0
0	0	0	1
1	1	0	0
0	0	1	0
0	1	0	0
0	0	0	1
1	0	0	0
0	0	0	1
1	0	1	0
0	0	0	1
1	0	0	0
0	0	0	1
1	0	1	0
0	0	0	1
0	1	1	0
0	1	1	0
1	0	0	1
1	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	1	0	0
1	0	0	0
1	0	0	0
1	0	0	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	0	1
0	1	0	0
0	1	0	0
0	1	0	0
0	0	0	1
1	0	0	0
1	0	0	0
1	0	0	0
0	0	0	1
0	0	1	0
0	0	1	0
0	0	1	0
0	1	0	0
0	1	0	0
0	1	0	0
1	0	0	0
0	0	0	1
